,previsao
2019-01-01,-19.50827269874957
2020-01-01,-21.229901429182426
2021-01-01,-22.951530159615285
2022-01-01,-24.673158890048143
2023-01-01,-26.394787620481
2024-01-01,-28.11641635091386
2025-01-01,-29.838045081346717
2026-01-01,-31.559673811779575
2027-01-01,-33.28130254221243
2028-01-01,-35.002931272645284
2029-01-01,-36.72456000307814
2030-01-01,-38.44618873351099
2031-01-01,-40.16781746394385
2032-01-01,-41.8894461943767
2033-01-01,-43.61107492480956
2034-01-01,-45.33270365524241
2035-01-01,-47.054332385675266
2036-01-01,-48.77596111610812
2037-01-01,-50.497589846540976
2038-01-01,-52.21921857697383
